# ============================== 基础控制流 原有词条 ==============================
ruguo|if
fouze|else
xunhuan|for
dang|while
zhixing|do
tiaochu|break
jixu|continue
fanhui|return
xuanze|switch
qingkuang|case
moren|default

# ============================== 扩充：循环分支增强 ==============================
fenbian|foreach
tiao|goto
zhongduanxunhuan|break label
jixuxunhuan|continue label
kongyuju|;
biao达shi|expression
yuju|statement
kuai|block
ziduanxuanshi|match
pianyi|fallthrough
tuichuxunhuan|break loop
biaoji|label

# ============================== 数据类型 原有词条 ==============================
zhengshu|int
duanzhengshu|short
changzhengshu|long
fudian|float
shuangjingdu|double
zifuchuan|String
zifu|char
buer|bool
duixiang|object
wuleixing|void
bianliang|var
changliang|const
zixing|byte
jiegouti|struct
meiju|enum

# ============================== 扩充：完整基础类型+包装类+高精度 ==============================
wushuzixing|unsigned byte
wushuduanzhengshu|unsigned short
wushuzhengshu|unsigned int
wushuchangzhengshu|unsigned long
wushuchangchang|unsigned long long
sanchang|long long
sanchangfudian|long double
shijianleixing|DateTime
shijianchuo|timestamp
wenben|text
zi|rune
wenzifu|string_view
dingchangzifuchuan|fixed string
dongchangzifuchuan|dynamic string
kexuanleixing|Optional
kongleixing|Unit
shuzuziyuan|array literal
duixiangziyuan|object literal
meijuzhileixing|enum class
jiegouzhizhen|struct pointer
tongyongleixing|any
weizhileixing|unknown
nil|nil
kongzhi|None
shuzhi|Number
zhenzhi|Boolean
zifuziyuan|char literal
shuziziyuan|numeric literal
zifuchuanziyuan|string literal
zhenjiaziyuan|bool literal
baozhuang_zixing|Byte
baozhuang_duanzhengshu|Short
baozhuang_zhengshu|Integer
baozhuang_changzhengshu|Long
baozhuang_fudian|Float
baozhuang_shuangjingdu|Double
baozhuang_zifu|Character
baozhuang_buer|Boolean
dashu|BigInteger
xiaoshu|BigDecimal
fenshu|Fraction
jichangdu|size_t
wuchangdu|ssize_t
weizhi|uint8_t
weishiliu|uint16_t
weiershisan|uint32_t
weiliushi|uint64_t
youzhi|int8_t
youshiliu|int16_t
youershisan|int32_t
youliushi|int64_t
kuangdu|size
rongliang|capacity
changduzhi|length()
daxiao|size()

